"month","day","year","species_id","weight"
8,19,1977,"DM",40
8,19,1977,"DM",48
8,19,1977,"DM",29
8,19,1977,"DM",46
8,19,1977,"DM",36
8,19,1977,"DO",52
8,19,1977,"PF",8
8,19,1977,"OX",22
8,19,1977,"DM",35
8,19,1977,"PF",7
8,19,1977,"DM",22
8,19,1977,"PF",9
8,19,1977,"DM",42
8,19,1977,"PF",8
8,19,1977,"DM",41
8,20,1977,"DM",37
8,20,1977,"DM",43
8,20,1977,"DM",41
8,20,1977,"DM",40
8,20,1977,"PF",9
8,20,1977,"DM",45
8,20,1977,"PP",15
8,20,1977,"DM",29
8,20,1977,"DM",39
8,20,1977,"DM",42
8,20,1977,"DM",43
8,20,1977,"DM",46
8,20,1977,"DM",41
8,20,1977,"DM",41
8,20,1977,"DM",40
8,20,1977,"DM",45
8,20,1977,"DM",46
8,20,1977,"DM",40
8,20,1977,"DM",30
8,20,1977,"DM",39
8,20,1977,"DM",34
8,20,1977,"DM",42
8,20,1977,"DM",42
8,20,1977,"PF",8
8,21,1977,"DM",31
8,21,1977,"DM",40
9,11,1977,"DM",37
9,11,1977,"DM",48
9,11,1977,"DM",42
9,11,1977,"DM",45
9,11,1977,"PP",16
9,11,1977,"DM",36
9,11,1977,"DM",42
9,11,1977,"DM",44
9,11,1977,"DM",41
9,11,1977,"PF",8
9,11,1977,"DM",40
9,11,1977,"DM",34
9,11,1977,"DM",40
9,11,1977,"OX",20
9,11,1977,"DM",44
9,11,1977,"DM",44
9,11,1977,"DM",36
9,11,1977,"DM",33
9,11,1977,"DM",46
9,11,1977,"DM",35
9,12,1977,"DM",46
9,12,1977,"DM",37
9,12,1977,"DM",34
9,12,1977,"DM",45
9,12,1977,"PF",7
9,12,1977,"DM",51
9,12,1977,"DM",39
9,12,1977,"DM",29
9,12,1977,"DM",48
9,12,1977,"DM",46
9,12,1977,"DM",41
9,12,1977,"DM",45
9,12,1977,"DM",42
9,12,1977,"DM",53
9,12,1977,"DM",49
9,12,1977,"DM",46
9,12,1977,"PF",9
9,13,1977,"PP",15
9,13,1977,"PF",4
9,13,1977,"DM",48
9,13,1977,"DM",51
9,13,1977,"DM",50
9,13,1977,"DM",44
9,13,1977,"DM",44
9,13,1977,"DM",45
9,13,1977,"DM",45
9,13,1977,"PE",19
9,13,1977,"OX",22
10,16,1977,"DM",44
10,16,1977,"DM",42
10,16,1977,"DM",39
10,16,1977,"DM",47
10,16,1977,"OT",21
10,16,1977,"DM",42
10,16,1977,"DM",49
10,16,1977,"DM",39
10,16,1977,"DM",43
10,16,1977,"DM",50
